species,reproductive.mode,Mass,Forage mode
Plica_umbra,Oviparous,96.7,sit and wait
Podarcis_erhardii,Oviparous,80.7,widely foraging
Podarcis_gaigeae,Oviparous,79.3,widely foraging
Podarcis_hispanicus,Oviparous,67.8,widely foraging
Podarcis_lilfordi,Oviparous,88.1,widely foraging
Podarcis_melisellensis,Oviparous,67.8,widely foraging
Podarcis_milensis,Oviparous,69.5,widely foraging
Podarcis_tauricus,Oviparous,82.2,widely foraging
Pogona_minor,Oviparous,114.9,sit and wait
Pogona_vitticeps,Oviparous,119.5,mixed
Polychrus_acutirostris,Oviparous,116.6,mixed
Polychrus_marmoratus,Oviparous,131.2,sit and wait
Potamites_ecpleopus,Oviparous,70.8,widely foraging
Potamites_juruazensis,Oviparous,74.1,widely foraging
Psammodromus_algirus,Oviparous,76.6,widely foraging
Psammodromus_hispanicus,Oviparous,57.4,mixed
Pseudemoia_entrecasteauxii,Mixed,70.8,widely foraging
Pseudemoia_spenceri,Viviparous,82.1,widely foraging
Pseudocordylus_melanotus,Viviparous,132.4,sit and wait
Pseudocordylus_microlepidotus,Viviparous,152.2,sit and wait
Pseudogekko_brevipes,Oviparous,48.2,sit and wait
Pseudogonatodes_guianensis,Oviparous,36.1,sit and wait
Pseudopus_apodus,Oviparous,281.3,widely foraging
Pseudotrapelus_sinaitus,Oviparous,85.4,sit and wait
Psychosaura_macrorhyncha,Viviparous,99.2,mixed
Ptychoglossus_bicolor,Oviparous,84,widely foraging
Ptychoglossus_brevifrontalis,Oviparous,90.6,widely foraging
Ptyodactylus_guttatus,Oviparous,75.6,sit and wait
Ptyodactylus_hasselquistii,Oviparous,88.3,sit and wait
Ptyodactylus_ragazzii,Oviparous,78,sit and wait
Pygopus_lepidopodus,Oviparous,78.9,widely foraging
Pygopus_nigriceps,Oviparous,94.6,sit and wait
Quedenfeldtia_trachyblepharus,Oviparous,56.3,sit and wait
Rhoptropus_barnardi,Oviparous,44.1,sit and wait
Rhynchoedura_ornata,Oviparous,68.6,sit and wait
Sauromalus_ater,Oviparous,151.7,sit and wait
Sceloporus_clarkii,Oviparous,77.8,sit and wait
Sceloporus_consobrinus,Oviparous,55,sit and wait
Sceloporus_cozumelae,Oviparous,56.4,sit and wait
Sceloporus_cyanogenys,Viviparous,73.2,sit and wait
Sceloporus_graciosus,Oviparous,63.1,sit and wait
Sceloporus_grammicus,Viviparous,52.4,sit and wait
Sceloporus_jarrovii,Viviparous,72.4,sit and wait
Sceloporus_magister,Oviparous,83.1,sit and wait
Sceloporus_malachiticus,Viviparous,71.1,sit and wait
Sceloporus_merriami,Oviparous,55,sit and wait
Sceloporus_minor,Oviparous,70,sit and wait
Sceloporus_occidentalis,Oviparous,60.4,sit and wait
Sceloporus_olivaceus,Oviparous,61.5,mixed
Sceloporus_orcutti,Oviparous,83.1,sit and wait
Sceloporus_poinsettii,Viviparous,81.8,sit and wait
Sceloporus_scalaris,Mixed,49.7,sit and wait
Sceloporus_tristichus,Oviparous,60.4,sit and wait
Sceloporus_undulatus,Oviparous,61.7,sit and wait
Sceloporus_variabilis,Oviparous,63.9,sit and wait
Sceloporus_virgatus,Oviparous,53.7,sit and wait
Scincella_cherriei,Oviparous,61.1,widely foraging
Scincella_lateralis,Oviparous,57.8,widely foraging
Shinisaurus_crocodilurus,Viviparous,104.4,widely foraging
Sitana_fusca,Oviparous,41.9,sit and wait
Sitana_ponticeriana,Oviparous,41.9,sit and wait
Smaug_giganteus,Viviparous,209.6,sit and wait
Sphenomorphus_maculatus,Oviparous,91.7,mixed
Stellagama_stellio,Oviparous,91.6,sit and wait
Stenocercus_roseiventris,Oviparous,99.4,mixed
Stenocercus_varius,Oviparous,118.5,widely foraging
